name,comment,star,source,label
Phương Anh,mới_đầu mua mình có nghiên_cứu rồi xem nhiều các đánh_giá của các bạn đã mua nhưng xài được hơn tháng rồi mà máy vẫn ngon pin trâu không hề giật lag như các bạn nói tóm_lại là rất hài_lòng về máy cũng như phục_vụ của nhân_viên điện_máy xanh,5,tgdd,2
Nguyễn Quốc Khởi,tôi vừa_mới mua lúc ság máy chạy siêu mượt không có hiện_tượng giật hay lag pin ổn_định vân tay tuyệt_vời khuôn_mặt cũng rất tuyệt_vời chơi game thì bao ngon anh_em cứ yên_tâm khi sử_dụng con a50 không hiểu sao các bạn lại chê thậm_tệ như vậy nhân_viên chu_đáo nhiệt_tình,5,tgdd,2
Nguyễn Thị Thủy Tiên,máy chạy tốt dùng lâu cảm_giác máy máy hơi nóng pin cũng dùng lâu thiết_kế đẹp_mắt camera chụp hình khá nét mua lúc giảm_giá 4tr990 nên cũng khôg dám yêu_cầu gì nhiều nhân_viên phục_vụ rất tốt nhiệt_tình,4,tgdd,2
Anh Nhut,có cái điện_thoại mà sóng_sánh làm không nên bắt sóng yếu không ổn_định thua cả điện_thoại tàu ai có chơi game hay cần làm_việc gì cần sóng ổn_định thì không nên mua vote sao chứ sao cũng không đáng,1,tgdd,0
PhượNg Chiêm,sau khi cập_nhật phiên_bản mới vào ngày 26tháng song không đăng_kí được vân tay luôn,2,tgdd,0
Tuấn Anh,hiệu_năng máy tốt chip ổn đủ để chơi game lướt web sóng lúc mạnh lúc yếu đa_phần là khá yếu chỉ từ đến vạch nóng nhanh có lúc máy cực_kì nóng nhưng máy rất đáng mua,4,tgdd,1
Âu Quốc Cường,hiệu_năng máy dùng rất tốt nhé mọi người cái vân tay quang_học cũng nhạy mình quét vài lần là quen máy này and rồi không phải ios nên khi dùng mọi người chịu_khó tối_ưu máy mỗi ngày thì máy sẽ mượt_mà mọi tác vụ game liên_quân fps cao 60 fps không tụt chơi rất mượt có_điều do màn_hình dài nên nhả chiêu dần sẽ quen còn pubg thì ổn nhé camera chụp nét ổn quay video còn rung nếu bạn nào muốn camera đẹp thì thêm ít tiền mua a50s pin đủ dùng gần ngày tắt sạc nhanh cho khỏi chai pin sạc cũng ok không cần đến sạc nhanh là máy trên đây là toàn_bộ review của mình sau khi sử_dụng máy gần năm các bạn cứ tham_khảo,5,tgdd,2
Lý Văn Đông,máy lỗi này lỗi nọ hết sạc đến mạng không bắt được 4g dù máy máy khác 4g khoẻ anh_em không nên mua mua một lần hối_hận luôn,1,tgdd,0
Bảo Khanh,máy hơi nóng là có hiện_tượng loạn cảm_ứng chơi game hay nhập bàn_phím thì không ăn nhảy loạn_xạ tác vụ hằng ngày thì lâu_lâu bị đứng rồi văng,1,tgdd,0
Vương Quý,cổng sạc qúa dở máy thông_báo phát_hiện đổ ẩm không cho sạc dù không hề rớt xuống_nước hay dính bụi bên trong mạng ra thế_giới di_động thì họ nói bị cổng sạc bị oxi hoá nên đổi cho cái khác đến hôm_nay cái này tiếp tụt bị y_hệt như vậy qúa thất_vọng,1,tgdd,0
Nguyễn Ngọc Bảo Nghi,loạn cảm_ứng liên tụt dù mới mua vài tháng bực cả mình nhiều khi đang gấp làm công_việc trên đây mà nhấn thì không ăn đứng lag,1,tgdd,0
Tran Huu Tinh,sản_phẩm nhanh hỏng mic mới mua được hơn tháng đã hỏng,1,tgdd,0
Lê Thạch Duy Thanh,máy loa ngoài mau hư mới xài mà hư rồi cục sạc theo máy cũng hư luôn nãn gì đâu mới ra hoàn tiền rồi tốn tiền dán kính cường_lực tốn xăng nữa,1,tgdd,0
Nông Đức Phú,máy như tự hiểu nó lag vô_cùng có khi lag màn_hình và đứng luôn gặp thường_xuyên chứ hong phải đôi lúc ok nhưng mà đối_với phân khúc tầm trung giá tiền như_vậy là không_thể chấp_nhận được méo hiểu tại_sao như vậy_mà không hề giảm_giá nữa chứ kiểu như_sa mà ung rất tự_hào về sản_phẩm dị khinh dễ sợ nói_chung tôi có kinh_nghiệm về máy này và rất sợ nên anh_em đừng mua nhé tôi là người đã trải nghiệm và chia sẽ cho anh_em máy tôi xài tháng đầu là có hiện_tượng dị ời nên mới dám nói máy hiện_tại hơn tháng ời nên anh_em đừng mua dòng máy này nha kẻo như tôi,1,tgdd,0
Nguyennamthanh,qúa thất_vọng về a50 bắt sóng kém kinh_khủng luôn không biết do phần_mềm hay phần_cứng do nhà sản_xuất nữa vậy,1,tgdd,0
Lê QuốC Hưng,máy dùng tác vụ thông_thường thì khá ổn nhưng pin hơi yếu vân tay rất bất_tiện khi bỏ điện_thoại trong túi quần vì bị chạm nên không dùng được,3,tgdd,1
Mai Ngọc Quân,samsung mua mới khi ra tiệm sửa thì mới biết thiếu ốc vit bên trong chắc là đã bán nhầm sản_phẩm đã qua bảo_hành như_vậy không tốt,1,tgdd,0
Quanghiep,sau khi cập_nhật bảo_mật ngày 11 11 2019 thì nhận_diện vân tay cực_kỳ tệ rất mong_sa mà ung sửa lỗi này đồng_thời nên gỡ ứng_dụng do 360 phát_triển,3,tgdd,0
Nam,sau khi sử_dụng hơn tuần mình thấy pin qúa kém sóng thì cực kém luôn đã sai khi mua,2,tgdd,0
Tin Tin,máy mua tại điện_máy xanh thị_trấn nam ban lâm hà lâm đồng mọi thứ đều ổn trừ cái khoảng vân tay sau khi cập_nhật bản vá ngày 12 2019 mong sẽ update lại,4,tgdd,1
Bùi Văn HoàNg,mua máy a50 máy mới dùng lượng pin 4000mah mà so với sa mà ung j7 pro pin chi có 3600mah mà không bằng j7 pro thua về mọi mặc mất_lòng tin bên hãng va không thích chinh sach đổi trả bên tgd tôi đã tin_tưởng và mua hàng bên thế_giới di_động và điện_máy xanh nhưng giờ tôi phải nghĩ_lại trước khi mua hàng bên tgd và điện_máy xanh,1,tgdd,0
Nguyễn Hùng,hối_hận khi mua máy này máy sim mà gắn vào sử_dụng mạng chậm pin mau hết cục sạc theo máy tháng hỏng,2,tgdd,0
Hồng Phượng,trải nghiệm được tuần máy dùng rất ổn sạc đúng chuẩn sạc nhanh nhân_viên thế_giới di_động chi_nhánh bùi thị xuân đà_lạt rất nhiệt_tình mình rất hài_lòng,5,tgdd,2
Tiến,nhìn_chung máy đẹp mọi chức_năng đều ok pin khá trâu nhưng chơi game không được mượt cho lắm có hỗ_trợ sạc nhanh sao sạc thấy khá lâu như_không có sạc nhanh_vậy,4,tgdd,1
Trần Nguyễn Bảo Hân,máy của mình cũng bị loạn cảm_ứng nhiều lúc đang đọc truyện mà màn_hình bị giật liên tụt nhìn nhức mắt lắm luôn với lại hình_như máy này không có sẵn máy_tính đúng không ad,3,tgdd,0
Linh Đức Luân,dùng tuần đầu được sau loạn cảm_ứng mặc_dù không chơi game máy đơ phần_mềm lỗi không bằng máy triệu,1,tgdd,0
Anh TuyếN,mình dùng tháng rồi cũng thấy ổn pin dùng được camera tạm được nói_chung là được,5,tgdd,2
Trọng Trí,sau hơn tháng sử_dụng thì em có nhận_xét như sau điện_thoại sử_dụng khá tốt chụp ảnh mức tạm được selfe thì ổn bảo_mật vân tay khuôn_mặt thì tốt pin thì sử_dụng được ngày xài ít thì được hai ngày cũng thoải_mái lắm màn_hình thì nói_chung là ổn chế_độ aod thì tốt tiếng máy mới mất pin máy chơi game khá ổn nhân_viên tư_vấn khá nhiệt_tình nói_chung là máy khá ổn so với tầm giá xin cảm_ơn,5,tgdd,2
Nguyen Cam Thi,sản_phẩm tốt lúc đầu thấy mọi người chê qúa trời không dám mua phân_vân ghê luôn nhưng tôi tin_tưởng thường hiệu nổi_tiếng và không hề sai_lầm và hối_hận khi mua điện_thoại mượt nhanh pin trâu sóng 4g vùng_sâu_xa yếu,5,tgdd,2
Khôi,loa sa mà ung a50 bị rè hay bị lag mọi người đừng nên mua tôi thật_sự hối_hận khi mua sa mà usng a50,1,tgdd,0
Kim Điều,mình thấy máy dùng ổn mà có lúc chơi game hơi lag còn lại đều ngon so với tầm giá,5,tgdd,2
Trương Thị Cẩm Nhung,vân tay khá tệ dán kính cường_lực về xong không sử_dụng vân tay được luôn máy thì hay bị loạn cảm_ứng camera thì rất ok càng sử_dụng lâu pin tụt càng nhanh hơi bị thất_vọng,3,tgdd,1
Nguyễn Võ Minh Lợi,sản_phẩm ok đôi lúc hơi lag nhưng cũng ok lắm cảm_ứng nhạy pin cũng ổn xem youtube hay gì cũng ok lắm mình đã sử_dụng sản_phẩm được hơn thág và cảm_nhận là rất ok,5,tgdd,2
Phạm Anh Quí,mạng 4g qúa tệ thường_xuyên mất xóng thất_vọng uôngt phí tiền mong có những bản nhập nhập cải_thiện 4g,1,tgdd,0
Buianhtu,mình mua dùng được vài ngày phát_hiện trong camera có rất nhiều bụi đã đổi_mới nhưng cái mới cũng bị bụi lọt vào phải nói chất_lượng qúa tệ mình đem ra đổi không được nuã vì họ nói họ không phat hiện có bụi,1,tgdd,0
Hùng Nguyễn,co ai giống tôi sao máy sử_dụng 4g mà tốc_độ load qúa chậm dù còn 5g tốc_độ cao xem youtube thua a10s đều sử_dụng mạng vietel,3,tgdd,0
Vũ Hoàng My,mọi thứ đều tốt nhưng camera sau 25mp không được như mong_muốn với hai hôm_nay chplay của mình không tải ứng_dụng xuống được bị như hình,4,tgdd,1
Nhật Uyên,không phải là bọn mình thi nhau nói_xấu sa mà_ung chứ bỏ ra gần 7tr để mua con này thì không đáng đâu mọi người những ai mà chủ_yếu lướt web hay xem phim thì thấy được chứ riêng mình thấy dở_tệ cam,2,tgdd,0
Trường Nguyễn,chắc do bán được với số_lượng và chất_lượng qúa tốt nên seder phải dìm hàng sa mà ung xuống có ai đặt nghi_vấn vì_sao các hãng tq thì không ai chê nhưng riêng thì luôn bị chê thậm_tệ mình dùng a50 tháng phải nói là qúa tuyệt_vời có điều cảm_ứng hơi không được nhạy có_thể vào seting để tăng độ nhạy được nên mọi thứ có_thể nói là tuyệt_vời,5,tgdd,2
Nguyễn Thảo Uyên,xài được tháng máy cảm_ứng bị đơ nhiều khi loạn cảm_ứng bấm phím này nhảy phím kia màn_hình bị giật sim 4g cứ bị mất sóng trong khi điện_thoại đồng nghiềp xài phà phà qúa thất_vọng,1,tgdd,0
Phuong,mua xài thấy máy chạy cũng được mở khoá vân tay không nhạy dù đã cập_nhật camera trước ảo tung chảo camera sau nhìn như nhoè hay sao ra điện_máy xanh thì nhân_viên bên sa mà ung nói là đó camera sau cơ_chế đó làm_đẹp qúa mức nên chụp xong nhìn nó có kiểu nhoè như vậy bó_tay pin xài ok mạng thì ok loa to hơi rè nói_chung chỉ có camera là không ổn bực_bội cái gọi là camera 25mp gì đó chụp cảnh thì còn được chụp người thì nó nhoe nhoé sao,2,tgdd,1
Nguyễn Truong,mình mua a50s_dụng rồi khuyên các bạn không nên dùng vì sản_phẩm kém chất_lượng đặc_biệt là bộ_phận sắc phim_sa mà ung bảo_hành kèm,1,tgdd,0
Nguyễn Trọng Duy,tôi đã mua sản_phẩm a50 64g được tháng và có cảm_giác vô_cùng thất_vọng về sản_phẩm này máy hay bị đơ và giật mặc_dù không chơi game hay tải ứng_dụng gì hết chỉ để đọc báo tìm_kiếm thông_tin tôi khuyên các bạn có ý_định mua điện thoai mới thì đừng nên mua sản_phẩm này,1,tgdd,0
Nguyễn Phi Dũng,sản_phẩm a50 bị lỗi phần_mềm khiến điện_thoại sạc phải kéo ra vào từ từ mới vô xài được ngày thì cắm sạc vào thì báo kết_nối cổng sạc không vô nữa đem máy đến trung_tâm thì được báo phải mở ra kiểm trả và anh kỹ_thuật_viên cầm cái chân sạc mở camera siêu nhỏ có đèn rọi vào và cho mình xem là bị ra ten xanh nói do xài điện_thoại chỗ ẩm_ướt giờ vệ_sinh chân sạc xong không sạc được nữa là phải thấy chân sạc mới với giá là 640ngàn đồng nói thật đỗ lỗi để chỗ ẩm_ướt hay nguyên_do gì đó nhà có 4cái điện_thoại xài đã lâu chẳng bao_giờ bị lỗi đó nói thật điện_thoại các bạn xài mà rọi camera vào thì vẫn thấy ra ten xanh là bình_thường do chân sạc bằng đồng mà đồng mà không ra ten tôi thua gì cũng thua điện_thoại để nhà thoáng mát có khi còn hơi nóng chứ đừng nói là ẩm_ướt làm hư chân sạc máy xài 5tháng thì bị lỗi mình khuyên các bạn đừng mua hãng sa mà ung trung_tâm bảo_hành chẳng_qua để các bạn vào đó thấy linh_kiện và trả tiền thôi dám chắc máy mà bị lỗi gì đó thì vào ấy cũng bị phán do xài nơi ẩm_ướt tôi không phải là thợ sửa nhưng đã sửa và thấy linh_kiện nhiều điện_thoại rồi lời cuối là rất là buồn cho 1hãng sa mà ung có những trung_tâm bảo_hành phán_xét ẩm_ướt để tính tiền có_lẽ các bạn cũng hiểu lỗi do linh_kiện qúa kém,1,tgdd,0
Dương Quốc Hưng,máy dùng ngon camera ổn pin ổn do không có nhu_cầu game nên không test cũng không thấy hiện_tượng lag giật gì,5,tgdd,2
Duy Anh,mình moi mua con a50 này chụp ảnh như sác chết gọi mesesg như xác_chết chạy mượt xài ok ghét mỗi camera nhìn như mặt người chết,4,tgdd,1
Bùi Văn Cường,mới mua mà máy không tự khoá màn_hình được máy hơi nóng dùng không bằng xiaomi tầm giá,3,tgdd,0
Đoàn Minh Quang,máy xài mạng kém chậm và lag chơi game thì được tháng đầu chơi mượt qua tháng thì bắt mạng không nỗi vô game có khi không được hoặc lag và chậm,1,tgdd,0
Tung,mới mua về vân tay hơi cùi thật nhưng dùng khoảng tháng thì rất tốt không thua cảm_biến cứng là máy pin 4000mah nhưng chỉ đủ dùng khoảng ngày camera có vẻ như màu hơi bị đẩy về gam nóng hiệu_năng thì chơi game ổn nhưng dùng lâu khoảng ngày không optimise là có giật lag,4,tgdd,1
Anh,mới mua tháng máy mà pin nó tụt nhanh lắm xem phim 45p là tụt 10 lâu_lâu nó hơi loạn cảm_ứng và tay đổ mồi hôi thì bấm không ăn chỉ có cái là sạc nhanh,2,tgdd,0
Huy,mình thấy vân tay nhạy mà mình cập_nhật hết luôn để cái vân tay vẫn nhạy ai cũng bảo nó không nhạy,5,tgdd,0
Bắc,ae đừng mog chờ gì cái vụ vân tay có cho oai thôi pin hơi bị chán dùng tạm thôi_thì được,3,tgdd,1
Nguyễn Trung Hiếu,khá tốt trừ cái vân tay hơi kém thì mọi thứ đều ổn kết_nối_mạng khá pin dùng tác vụ cơ_bản lâu_lâu xem youtube đọc tài_liệu facebook bok cũng gần được ngày,4,tgdd,1
Huỳnh Gia Tuệ,sản_phẩm bình_thường vân tay với nhận_diện khuôn_mặt qúa kém pin tạm ổn lướt tin_tức bình_thường không tụt nhiều pin chơi game sẽ tụt pin nhanh hơn nói_chung sản_phẩm này chỉ phù_hợp với giá tầm trung phù_hợp với hs sv hơn những người đi làm mình mua lúc giảm_giá còn 4tr9 thì số tiền bỏ ra hợp_lý còn giá gốc gần 7tr để mua điện_thoại này thì không phù_hợp,3,tgdd,1
Dung Tran,mình mua máy được hơn tháng thấy máy xài rất tốt không như mọi người đã bình_luận camera rất sáng chưa bao_giờ đứng máy hay bị giật nói_chung mọi thứ đều rất hài_lòng,5,tgdd,2
Mã Duy Thành,nói_chung chỉ có_thể nói là tạm được máy rất hay giật lag loạn cảm_ứng lỗi vân tay tùm_lum các thứ giá niêm_yết lúc trước gần 7tr mà xài còn thua điện_thoại 5tr rất thất_vọng với sa mà_ung,2,tgdd,1
Le Đức Việt,mua được ngày cảm_ứng nhạy mở khoá bằng vân tay và khuôn_mặt hơi kém nói_chung là tạm ổn,4,tgdd,1
Nguyễn Phước Lập,sản_phẩm đã mua được tháng tháng đầu xài ổn máy hoạt_động tốt tháng thứ bắt_đầu xảy ra tình_trạng loạn cảm_ứng đơ máy mạng ra trung_tâm bảo_hành sa mà ung chạy lại phần_mềm sau đó thì vẫn tiếp tụt xảy ra hiện_tượng loạn cảm_ứng,3,tgdd,1
Trần Hoàng Khăm,mình có mua một con a50 cách đây tháng thời_gian đầu xài mượt_mà rất là ok nhưng thời_gian gần đây máy có hiện_tượng loạn cảm_ứng tắt máy mở lại thì hết xong lại bị tiếp bản cập_nhật gần đây nhất không mở được đèn flash mình thật_sự thất_vọng về sa mà_ung,2,tgdd,1
Lâm Hữu Thuyết,update xong tắt mở đèn_pin không sáng flash chụp hình được mà mở quay_phim im ru qúa chán,2,tgdd,0
Nguyễn_ Thùy,sản_phẩm tốt trong tầm giá máy sử_dụng rất ok nhân_viên nhiệt_tình cju đáo rất hài_lòng,5,tgdd,2
Cường,mới mua 4580k máy tốt trong tầm giá nói_chung ngon camera tốt pin tốt màn_hình ngon,5,tgdd,2
Nguyễn Hùng,sau ngày sử_dụng tôi thấy pin 4000mah của máy không trâu cho lắm có_thể ngang với j7 prime vân tay lúc nhận lúc không sạc pin không có đèn báo đang sạc nên cũng khó nhận_biết pin đầy hay chưa mà sao pin đầy 100 rút ra bấm vài cái là tụt rồi không hiểu sao nữa,3,tgdd,0
Khánh Phương,sau khi cập_nhật phầm mềm 10 2019 thì thấy tiến_triển hơn pin tụt nhanh hơn tuôt quần chán điện_thoại thì rớt_giá bạch_bạch negative,2,tgdd,0
Tiệm Nguyễn,pin thì cũg hụt khá nhah riêng cảm_ứng nhắn_tin không nhạy lắm haiz nhắn_tin mà thấy bực mk không bằg con ghẻ cũ từg dùg nhắn_tin mượt hơn nhiều,2,tgdd,0
Ha,máy gì mà để túi quần tự sáng màn_hình dùng tay lag nhẹ cũng lên mà không cần chạm màn_hình không biết làm_sao nữa,1,tgdd,0
Tân,pin như 2000mah vậy mới mua máy ngày mất 30p tắt màn_hình chơi game ofline vd zom biết usnami thì phút mất,1,tgdd,0
Nghĩa Nguyễn,xài tháng chụp văn_bản mà máy cũng xoá phong sạc pin cực nóng luôn pin tụt thì nhanh không nên xài chip exy không,1,tgdd,0
Thương Quốc,pin 4000 mah mà để qua đêm tụt mất mở lên bấm vài cái mất thêm nữa cảm_ứng thì không nhạy bấm có lúc lần mới ăn các bạn nên cân_nhắc khi mua tôi mới chỉ mua có nửa ngày thôi,2,tgdd,0
Pha,hiện_tại mình dùng máy hơn tuần rồi mình cảm_thấy máy rất tốt không có như máy bạn đánh_giá không tốt,4,tgdd,2
Phạm Ngọc Châu,sao ai cũng kêu pin trâu mà em mới mua ngày dùng pin xuống nhanh lắm không biết có bị lỗi hao nguồn kg tắt hết ứng_dụng mà xuống vẫn nhanh khởi_động lại cũng thế chán qúa ad giải_đáp giùm,3,tgdd,0
Minh Hằng,pin bền sóng khoẻ mình không chơi game nên dùng rất tốt không có gì phải chê cho sao luôn,5,tgdd,2
Đào Xuân Sinh,cảm_ứng qúa chậm tiếp_điểm kém mới trải nghiệm được hơn nửa tháng mà thấy qúa tồi lựa_chọn sai_lầm khi mua nó,1,tgdd,0
Nguyễn Bửu,cảm_ứng rất tốt pin trâu ngày mới phải sạc lại cảm_ứng vân tay cũng rất nhạy game tốt không lag rất mượt sau khi update hệ_thống máy mua đã được tuần tuyệt_vời trong tầm giá,5,tgdd,2
Ngân,nhìn tổng_quan thì đẹp nhưng pin mau hết máy mau nóng pin 4k mà xài thua j4 j7pri,3,tgdd,1
Anh Quý,mình mua máy trong tầm giá triệu rưỡi nói_chung là ok màn_hình đẹp camera thì ok pin trâu nói_chung là ok trong tầm giá,5,tgdd,2
Nguyên Khôi,tôi rất thích sản_phẩm này màn_hình đẹp giá_cả hợp_lý tôi rất thích,5,tgdd,2
Thanh,mình mua máy từ 20 tới nay là tháng ngày máy dùng ok không có gì đáng chê chỉ chê là chê những bạn chưa xài mà phán như đúng rồi ấy còn về cảm_biến vân tay sau lần cập_nhật hôm 10 đã cải_thiện rất tốt chỉ cần các bạn đặt ngón tay đúng vị_trí là ổn thôi,5,tgdd,2
Khôi,mới mua về sạc pin lần đầu điện_thoại rất nóng ra thế_giới di_động nhân_viên bảo là có_thể do xung_đột phần_mềm nhưng nay nữa tháng rồi vẫn vậy hỗ_trợ sạc nhanh vì máy mau tụt pin,4,tgdd,0
Mạnh,sản_phẩm tốt nhưng em bật đèn flash cảm_giác xung_quanh mặt sau nó như bị hở mong mọi người hướng_dẫn,4,tgdd,1
An,nhấn đúp để mở_màn_hình phải đợi tí nó mới chịu lên cho mở máy bằng vân tay sóng của sim được cục cục sóng pin nhanh hết thế_giới di_động giờ nhập hàng về bán qúa kém,1,tgdd,0
An,cho sao cho a50 a50 và a50s đang rất nhiều sóng 4g của sim lúc_nào cũng cục cục pin nhanh hết mọi người cân_nhắc khi mua a50 và 50s,1,tgdd,0
Nguyễn Duy Đa,sử_dụng được tuần thấy máy rất tốt trong tầm giá nhân_viên tư_vấn nhiệt dễ_thương,5,tgdd,2
Huy,không chê bất_kỳ thứ gì chỉ có camera chụp ảnh là không đẹp nên không quan_tâm lắm chơi game liên_quân cũng ngon đánh ván liên tụt không thấy nóng mặt sau máy_vậy là ổn rồi,5,tgdd,2
Giàu,mua được ngày đang xài sập nguồn mở không lên nguồn lại được nhờ bên thế_giới di_động hổ trợ_giúp,3,tgdd,0
TriệU Văn Linh,kém quá kém so với điện_thoại trung quốc nghìn gì hết nhanh nóng máy loa rè chơi game âm_thanh bé tí không to như lúc nghe nhạc sạc thì chậm xả pin thì nhanh được mối quả màn_hình tạm được,1,tgdd,0
Ngọc,mình mới mua máy được ngày hôm_nay gặp tình_trạng mất sóng như thế này sim thì sóng khoẻ sim thì không có sóng mà cả sim đều là sim 1vietel sim 4g mới như nhau chắc_chắn không phải do sim mà do máy khi thì cả sim vẫn hiện vạch sóng nhưng gọi đi không được máy khác gọi đến thì thuê_bao,1,tgdd,0
Tuấn Anh,em mua được ngày xài thì thấy pin tụt nhanh cứ phút tụt pin như vạy là có lỗi sản_xuất hay đúng rồi,3,tgdd,0
Đỗ Thanh Dũng,mình mua máy được ngày rồi nhận_xét ban_đầu_máy cầm khá vừa tay không to cũng không nhỏ pin khoẻ thích_hợp cho những bạn hay chơi game như liên_quân và pubg còn một điều nữa là cục sạc khi mua theo máy được bảo_hành tháng nhưng có trục chặc gì thì nghe mình vứt luôn cục sạc ra qúan mua cục mới positive chứ bên thế_giới di_động không hỗ_trợ đổi sạc cho sạc em mua có dòng chữ sa mà ung màu đen sạc của thế_giới di_động là dòng chữ sa mà ung màu trắng,5,tgdd,2
Huỳnh Hiền,trước khi mua sản_phẩm thì thấy mọi người chê rất nhiều theo mình cảm_nhận với số tiền bỏ ra thì rất đáng có nhiều chức_năng kiểu_dáng đẹp mỏng đặc_biệt camera sắc nét đẹp vân tay ok không nhạy lắm nhưng với tầm trung như vậy mình thấy qúa tuyệt_vời rồi,5,tgdd,2
Quang Đạt,các bạn mua a50 về lên update phần_mềm lên nhé đã update cho phần cảm_ứng vân tay rồi nhạy lắm dùng ok,4,tgdd,2
Tâm,galaxy a50 pin khoẻ camera đẹp nhìn bắt_mắt màn_hình sắc nét chạy mượt_mà ổn_định rất hài_lòng,5,tgdd,2
Minh Thuyết,mua sa mà ung a50 64gb hôm 07 10 2019 dùng đến hôm_nay 13 10 2019 cảm_nhận mọi thứ đều ổn theo nhu_cầu sử_dụng cá_nhân sắp tới sẽ luôn chọn sa mà_ung,5,tgdd,2
Quỳnh,mới mua hôm_qua luôn cảm_ứng vân tay không nhạy nhấn lâu ơi là lâu mà vẫn báo không khớp chán thiệt cam sau chính vẫn chưa biết cách sử_dụng,3,tgdd,1
Nguyễn Đình Chiến,dùng được tuần thấy rất ok nhưng mới mua 290 000 giờ còn 490 000 buồn ghê_vậy đó positive,4,tgdd,1
Phan Văn Tá,mình mua cái màu trắng xài 19 ngày bị lỗi chân sạc đi đổi cái mới về thì thấy trong camera sau có vật gì chắn ngang camera thì có được đổi không và cái mình mới đổi về thì còn được đởi mới bao_nhiêu ngày khi có lỗi,3,tgdd,1
Minh ĐứC,mới mua được vài ngày mọi thứ vẫn ổn nhưng pin mau hết và sạc hơi lâu,3,tgdd,1
Trần Thị Nhung,thấy khá ok lúc đầu cũng hơi lo tại thấy nhiều come nhắn_tin chê pin rồi sóng các kiểu nhưng mua rồi thấy rất tốt lướt facebook xem youtube nghe gọi hơn ngày mới hết pin sạc lại nhanh chỉ khoảng hơn một tiếng là đầy,5,tgdd,2
Mến,a50 quá ngon cho chơi game cũng như rất ngon trong tầm giá được giảm 5tr ae đến thế_giới di_động test và mua đừng tin vào lời đánh_giá mà hoang mạng tôi thấy điện_thoại nào cũng bị đánh_giá chê nhân_viên vui_vẻ nhiệt_tình đừng vì những lời đánh_giá mà hoang mạng nhé ae yên_tâm mà mua về sài nhé,5,tgdd,2
Tuyến,điện_thoại qúa tốt trong tầm tay máy đẹp màn_hình đẹp camera chụp sắc nét giờ lại giảm_giá mạnh qúa,5,tgdd,2
